Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb2', cutout=0, dataset='cifar10', epochs=200, gamma=0.5, history=5, iter=30, lr=0.1, min_lr=1e-05, model='resthrifty', momentum=0.9, name='mbconv2_64', nesterov=True, optimizer='sgd', patience=5, pool=[6], resume=None, seed=807663, size=64, test_batch_size=1000, weight_decay=0.0005)Parameters : 7294
*******
test_loss : 1.8048978637695312, lr : 0.1, test_acc : 0.3807, train_acc : 0.3783, train_loss : 1.4125933647155762, Epoch : 1, 
test_loss : 1.7519841796875, lr : 0.1, test_acc : 0.3989, train_acc : 0.46268, train_loss : 1.3946086168289185, Epoch : 2, 
test_loss : 1.5211953369140625, lr : 0.1, test_acc : 0.4548, train_acc : 0.50112, train_loss : 1.3043791055679321, Epoch : 3, 
test_loss : 1.688772900390625, lr : 0.1, test_acc : 0.4216, train_acc : 0.53132, train_loss : 1.382412314414978, Epoch : 4, 
test_loss : 1.940838330078125, lr : 0.1, test_acc : 0.3529, train_acc : 0.54634, train_loss : 1.2621301412582397, Epoch : 5, 
test_loss : 1.6354468017578125, lr : 0.1, test_acc : 0.4406, train_acc : 0.54996, train_loss : 1.2622319459915161, Epoch : 6, 
test_loss : 1.9037517944335938, lr : 0.1, test_acc : 0.4075, train_acc : 0.56244, train_loss : 1.0993844270706177, Epoch : 7, 
test_loss : 1.723095068359375, lr : 0.1, test_acc : 0.4243, train_acc : 0.56912, train_loss : 1.0682677030563354, Epoch : 8, 
test_loss : 1.2777179443359374, lr : 0.1, test_acc : 0.5457, train_acc : 0.56706, train_loss : 1.2103248834609985, Epoch : 9, 
test_loss : 1.1934500366210938, lr : 0.1, test_acc : 0.5763, train_acc : 0.5798, train_loss : 0.9643566608428955, Epoch : 10, 
test_loss : 1.2638297241210938, lr : 0.1, test_acc : 0.5385, train_acc : 0.58282, train_loss : 1.1427873373031616, Epoch : 11, 
test_loss : 1.9163591064453125, lr : 0.1, test_acc : 0.4092, train_acc : 0.5857, train_loss : 1.0310684442520142, Epoch : 12, 
test_loss : 1.4542102661132812, lr : 0.1, test_acc : 0.4826, train_acc : 0.5908, train_loss : 0.9308221936225891, Epoch : 13, 
test_loss : 1.2650982788085938, lr : 0.1, test_acc : 0.5463, train_acc : 0.58736, train_loss : 1.0554842948913574, Epoch : 14, 
test_loss : 1.521291650390625, lr : 0.1, test_acc : 0.4784, train_acc : 0.59112, train_loss : 0.8465110659599304, Epoch : 15, 
test_loss : 1.2577448486328124, lr : 0.1, test_acc : 0.5486, train_acc : 0.59126, train_loss : 1.0042990446090698, Epoch : 16, 
test_loss : 0.9377967041015625, lr : 0.05, test_acc : 0.6699, train_acc : 0.65028, train_loss : 1.068247675895691, Epoch : 17, 
test_loss : 1.020051171875, lr : 0.05, test_acc : 0.638, train_acc : 0.66114, train_loss : 0.755023717880249, Epoch : 18, 
test_loss : 1.0406371276855468, lr : 0.05, test_acc : 0.6377, train_acc : 0.66634, train_loss : 1.0903253555297852, Epoch : 19, 
test_loss : 0.9725140808105469, lr : 0.05, test_acc : 0.6575, train_acc : 0.67448, train_loss : 0.957253098487854, Epoch : 20, 
test_loss : 1.192251123046875, lr : 0.05, test_acc : 0.5777, train_acc : 0.6726, train_loss : 0.994158148765564, Epoch : 21, 
test_loss : 1.0437346862792969, lr : 0.05, test_acc : 0.6273, train_acc : 0.6744, train_loss : 1.2382935285568237, Epoch : 22, 
test_loss : 1.1793785888671875, lr : 0.05, test_acc : 0.5933, train_acc : 0.67614, train_loss : 1.0747636556625366, Epoch : 23, 
test_loss : 0.924266748046875, lr : 0.025, test_acc : 0.6752, train_acc : 0.7066, train_loss : 0.6613608002662659, Epoch : 24, 
test_loss : 0.9063422485351562, lr : 0.025, test_acc : 0.6806, train_acc : 0.71424, train_loss : 0.8284767866134644, Epoch : 25, 
test_loss : 0.9590789367675782, lr : 0.025, test_acc : 0.6606, train_acc : 0.7166, train_loss : 0.7605161070823669, Epoch : 26, 
test_loss : 0.929805419921875, lr : 0.025, test_acc : 0.6786, train_acc : 0.71608, train_loss : 0.763079047203064, Epoch : 27, 
test_loss : 0.8407441467285156, lr : 0.025, test_acc : 0.7075, train_acc : 0.71762, train_loss : 0.7601602077484131, Epoch : 28, 
test_loss : 0.8265906188964843, lr : 0.025, test_acc : 0.7074, train_acc : 0.72114, train_loss : 0.8349609971046448, Epoch : 29, 
test_loss : 0.825585986328125, lr : 0.025, test_acc : 0.7016, train_acc : 0.72174, train_loss : 0.906263530254364, Epoch : 30, 
test_loss : 0.9546839172363282, lr : 0.025, test_acc : 0.6718, train_acc : 0.72286, train_loss : 0.7559884786605835, Epoch : 31, 
test_loss : 0.8326932189941406, lr : 0.025, test_acc : 0.7105, train_acc : 0.72032, train_loss : 0.7477533221244812, Epoch : 32, 
test_loss : 1.124912060546875, lr : 0.025, test_acc : 0.6267, train_acc : 0.72492, train_loss : 0.8957523107528687, Epoch : 33, 
test_loss : 0.9054649475097656, lr : 0.025, test_acc : 0.6887, train_acc : 0.72528, train_loss : 0.5742402076721191, Epoch : 34, 
test_loss : 0.9606596801757813, lr : 0.025, test_acc : 0.6659, train_acc : 0.7258, train_loss : 0.8261285424232483, Epoch : 35, 
test_loss : 0.8057133117675781, lr : 0.025, test_acc : 0.7202, train_acc : 0.7271, train_loss : 0.8789479732513428, Epoch : 36, 
