Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, cutout=0, dataset='cifar10', epochs=200, gamma=0.5, history=5, iter=25, lr=0.1, min_lr=1e-05, model='resthrifty', momentum=0.9, name='noBiasBN', nesterov=True, optimizer='sgd', patience=5, pool=[5], resume=None, seed=995059, size=64, test_batch_size=1000, weight_decay=0.0005)Parameters : 37664
*******
test_acc : 0.4042, lr : 0.1, Epoch : 1, test_loss : 1.7921273071289063, train_loss : 1.5831069946289062, train_acc : 0.3718, 
test_acc : 0.4677, lr : 0.1, Epoch : 2, test_loss : 1.5252460327148438, train_loss : 1.409477710723877, train_acc : 0.46756, 
test_acc : 0.5272, lr : 0.1, Epoch : 3, test_loss : 1.3118150146484375, train_loss : 1.4003883600234985, train_acc : 0.49916, 
test_acc : 0.4642, lr : 0.1, Epoch : 4, test_loss : 1.5897616577148437, train_loss : 1.2539042234420776, train_acc : 0.50358, 
test_acc : 0.4872, lr : 0.1, Epoch : 5, test_loss : 1.4431145263671874, train_loss : 1.0228614807128906, train_acc : 0.52066, 
test_acc : 0.4775, lr : 0.1, Epoch : 6, test_loss : 1.5141441528320312, train_loss : 1.3369213342666626, train_acc : 0.50054, 
test_acc : 0.4611, lr : 0.1, Epoch : 7, test_loss : 1.5175998901367187, train_loss : 1.3616241216659546, train_acc : 0.4957, 
test_acc : 0.51, lr : 0.1, Epoch : 8, test_loss : 1.3870963745117189, train_loss : 1.5465136766433716, train_acc : 0.48428, 
test_acc : 0.4664, lr : 0.1, Epoch : 9, test_loss : 1.5438460693359375, train_loss : 1.4537235498428345, train_acc : 0.48172, 
test_acc : 0.5541, lr : 0.05, Epoch : 10, test_loss : 1.2410626831054687, train_loss : 1.072542667388916, train_acc : 0.54056, 
test_acc : 0.5751, lr : 0.05, Epoch : 11, test_loss : 1.1876339111328125, train_loss : 1.092512845993042, train_acc : 0.56088, 
test_acc : 0.532, lr : 0.05, Epoch : 12, test_loss : 1.3080233276367188, train_loss : 1.219043254852295, train_acc : 0.57268, 
test_acc : 0.5842, lr : 0.05, Epoch : 13, test_loss : 1.1792991088867188, train_loss : 1.0840951204299927, train_acc : 0.57842, 
test_acc : 0.5902, lr : 0.05, Epoch : 14, test_loss : 1.1409580078125, train_loss : 0.9699693918228149, train_acc : 0.57308, 
test_acc : 0.5551, lr : 0.05, Epoch : 15, test_loss : 1.2400026123046874, train_loss : 1.3161414861679077, train_acc : 0.57264, 
test_acc : 0.5179, lr : 0.05, Epoch : 16, test_loss : 1.3811883178710938, train_loss : 1.0819491147994995, train_acc : 0.55976, 
test_acc : 0.5424, lr : 0.05, Epoch : 17, test_loss : 1.2835442016601561, train_loss : 1.219595193862915, train_acc : 0.5552, 
test_acc : 0.5599, lr : 0.05, Epoch : 18, test_loss : 1.2376115600585937, train_loss : 1.1460561752319336, train_acc : 0.55376, 
test_acc : 0.5619, lr : 0.05, Epoch : 19, test_loss : 1.2372062622070312, train_loss : 1.0873943567276, train_acc : 0.55844, 
test_acc : 0.5277, lr : 0.05, Epoch : 20, test_loss : 1.3238446899414062, train_loss : 1.1080565452575684, train_acc : 0.5593, 
test_acc : 0.623, lr : 0.025, Epoch : 21, test_loss : 1.0520116760253906, train_loss : 0.9394569396972656, train_acc : 0.60638, 
test_acc : 0.6337, lr : 0.025, Epoch : 22, test_loss : 1.0223412902832032, train_loss : 1.0225077867507935, train_acc : 0.62456, 
test_acc : 0.6406, lr : 0.025, Epoch : 23, test_loss : 1.0294602294921875, train_loss : 0.9656776189804077, train_acc : 0.62592, 
test_acc : 0.6356, lr : 0.025, Epoch : 24, test_loss : 1.0344374938964844, train_loss : 0.9699832797050476, train_acc : 0.64458, 
test_acc : 0.6576, lr : 0.025, Epoch : 25, test_loss : 0.9581310119628906, train_loss : 0.9013944268226624, train_acc : 0.64848, 
test_acc : 0.648, lr : 0.025, Epoch : 26, test_loss : 0.9905013793945312, train_loss : 0.9556024074554443, train_acc : 0.64788, 
test_acc : 0.6554, lr : 0.025, Epoch : 27, test_loss : 0.9737385498046875, train_loss : 0.963840126991272, train_acc : 0.6541, 
test_acc : 0.6613, lr : 0.025, Epoch : 28, test_loss : 0.9708999267578124, train_loss : 0.9317818284034729, train_acc : 0.6563, 
test_acc : 0.6536, lr : 0.025, Epoch : 29, test_loss : 0.9822554870605469, train_loss : 1.0303672552108765, train_acc : 0.65844, 
test_acc : 0.6611, lr : 0.025, Epoch : 30, test_loss : 0.9548378479003906, train_loss : 0.9146736264228821, train_acc : 0.66116, 
test_acc : 0.6717, lr : 0.025, Epoch : 31, test_loss : 0.927138818359375, train_loss : 0.8953831195831299, train_acc : 0.66796, 
test_acc : 0.6738, lr : 0.025, Epoch : 32, test_loss : 0.9084393798828125, train_loss : 0.8204002976417542, train_acc : 0.66886, 
test_acc : 0.6724, lr : 0.025, Epoch : 33, test_loss : 0.9219588256835938, train_loss : 1.0917872190475464, train_acc : 0.67304, 
test_acc : 0.6591, lr : 0.025, Epoch : 34, test_loss : 0.9785537414550781, train_loss : 0.7940199375152588, train_acc : 0.67072, 
test_acc : 0.6675, lr : 0.025, Epoch : 35, test_loss : 0.9411711791992188, train_loss : 0.8993505835533142, train_acc : 0.67252, 
test_acc : 0.6553, lr : 0.025, Epoch : 36, test_loss : 0.9673146423339843, train_loss : 0.8780168294906616, train_acc : 0.6714, 
test_acc : 0.6781, lr : 0.025, Epoch : 37, test_loss : 0.9203215515136719, train_loss : 0.8404139876365662, train_acc : 0.67382, 
test_acc : 0.6227, lr : 0.025, Epoch : 38, test_loss : 1.10564052734375, train_loss : 0.874386727809906, train_acc : 0.67216, 
test_acc : 0.7073, lr : 0.0125, Epoch : 39, test_loss : 0.8336357055664062, train_loss : 0.8441115021705627, train_acc : 0.69956, 
test_acc : 0.7121, lr : 0.0125, Epoch : 40, test_loss : 0.8270253601074219, train_loss : 0.8662108778953552, train_acc : 0.70988, 
test_acc : 0.722, lr : 0.0125, Epoch : 41, test_loss : 0.7894656616210938, train_loss : 0.7795628309249878, train_acc : 0.71844, 
test_acc : 0.7229, lr : 0.0125, Epoch : 42, test_loss : 0.7874418151855469, train_loss : 0.967887282371521, train_acc : 0.72264, 
