Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, cutout=0, dataset='cifar10', epochs=200, gamma=0.5, history=5, iter=30, lr=0.1, min_lr=1e-05, model='resthrifty', momentum=0.9, name='singleBN', nesterov=True, optimizer='sgd', patience=5, pool=[6], resume=None, seed=555475, size=64, test_batch_size=1000, weight_decay=0.0005)Parameters : 37822
*******
Namespace(activ='tanh', auto_augment=False, batch_size=80, bias=False, checkpoint_freq=0, cutout=0, dataset='cifar10', epochs=200, gamma=0.5, history=5, iter=30, lr=0.1, min_lr=1e-05, model='resthrifty', momentum=0.9, name='singleBN', nesterov=True, optimizer='sgd', patience=5, pool=[6], resume=None, seed=540335, size=64, test_batch_size=1000, weight_decay=0.0005)Parameters : 37822
*******
Epoch : 1, train_loss : 2.070632219314575, lr : 0.1, test_loss : 5.10758515625, train_acc : 0.2051, test_acc : 0.1, 
Epoch : 2, train_loss : 1.7549560070037842, lr : 0.1, test_loss : 3.1463005859375, train_acc : 0.28406, test_acc : 0.1396, 
Epoch : 3, train_loss : 1.7892907857894897, lr : 0.1, test_loss : 3.0430119384765626, train_acc : 0.33038, test_acc : 0.1359, 
Epoch : 4, train_loss : 1.8518835306167603, lr : 0.1, test_loss : 2.451913525390625, train_acc : 0.35694, test_acc : 0.1989, 
Epoch : 5, train_loss : 1.5120489597320557, lr : 0.1, test_loss : 4.704261474609375, train_acc : 0.37404, test_acc : 0.1012, 
Epoch : 6, train_loss : 1.7148263454437256, lr : 0.1, test_loss : 3.163194775390625, train_acc : 0.38556, test_acc : 0.1182, 
Epoch : 7, train_loss : 1.5805193185806274, lr : 0.1, test_loss : 3.7623371337890625, train_acc : 0.386, test_acc : 0.1042, 
Epoch : 8, train_loss : 1.628443956375122, lr : 0.1, test_loss : 4.359731762695312, train_acc : 0.38886, test_acc : 0.1928, 
Epoch : 9, train_loss : 1.7103303670883179, lr : 0.1, test_loss : 4.718702294921875, train_acc : 0.40502, test_acc : 0.1706, 
Epoch : 10, train_loss : 1.6924867630004883, lr : 0.1, test_loss : 4.31115654296875, train_acc : 0.40786, test_acc : 0.1, 
Epoch : 11, train_loss : 1.5240483283996582, lr : 0.05, test_loss : 3.3152214599609375, train_acc : 0.45562, test_acc : 0.1426, 
Epoch : 12, train_loss : 1.4433472156524658, lr : 0.05, test_loss : 2.905457177734375, train_acc : 0.46278, test_acc : 0.1863, 
Epoch : 13, train_loss : 1.4432194232940674, lr : 0.05, test_loss : 3.2832378173828123, train_acc : 0.4839, test_acc : 0.1322, 
Epoch : 14, train_loss : 1.3959418535232544, lr : 0.05, test_loss : 3.4920899658203126, train_acc : 0.48748, test_acc : 0.152, 
Epoch : 15, train_loss : 1.3699243068695068, lr : 0.05, test_loss : 3.2353938720703126, train_acc : 0.5007, test_acc : 0.1875, 
Epoch : 16, train_loss : 1.4126248359680176, lr : 0.05, test_loss : 3.6066900146484375, train_acc : 0.505, test_acc : 0.1844, 
Epoch : 17, train_loss : 1.2710464000701904, lr : 0.025, test_loss : 3.5559485107421875, train_acc : 0.56068, test_acc : 0.1272, 
Epoch : 18, train_loss : 1.2401154041290283, lr : 0.025, test_loss : 3.25934921875, train_acc : 0.5679, test_acc : 0.1303, 
Epoch : 19, train_loss : 1.2437613010406494, lr : 0.025, test_loss : 3.3928598388671873, train_acc : 0.57516, test_acc : 0.1812, 
Epoch : 20, train_loss : 1.2283670902252197, lr : 0.025, test_loss : 2.892386669921875, train_acc : 0.5784, test_acc : 0.2256, 
Epoch : 21, train_loss : 1.1312212944030762, lr : 0.025, test_loss : 3.698410400390625, train_acc : 0.58816, test_acc : 0.1819, 
Epoch : 22, train_loss : 1.1377053260803223, lr : 0.025, test_loss : 2.5299330078125, train_acc : 0.58968, test_acc : 0.2239, 
Epoch : 23, train_loss : 0.952051043510437, lr : 0.0125, test_loss : 2.7887650146484373, train_acc : 0.62592, test_acc : 0.2121, 
Epoch : 24, train_loss : 0.8822665214538574, lr : 0.0125, test_loss : 3.1271669921875, train_acc : 0.6342, test_acc : 0.1659, 
Epoch : 25, train_loss : 0.7592132687568665, lr : 0.0125, test_loss : 3.4553821044921875, train_acc : 0.6405, test_acc : 0.1666, 
Epoch : 26, train_loss : 0.9989341497421265, lr : 0.0125, test_loss : 3.7947666748046873, train_acc : 0.64426, test_acc : 0.1634, 
Epoch : 27, train_loss : 0.9047712087631226, lr : 0.0125, test_loss : 3.0142421630859375, train_acc : 0.64504, test_acc : 0.2003, 
Epoch : 28, train_loss : 0.9022754430770874, lr : 0.0125, test_loss : 2.8090271484375, train_acc : 0.65212, test_acc : 0.2176, 
Epoch : 29, train_loss : 0.7300013899803162, lr : 0.00625, test_loss : 3.1819479736328127, train_acc : 0.67828, test_acc : 0.186, 
Epoch : 30, train_loss : 0.9361578226089478, lr : 0.00625, test_loss : 3.21971875, train_acc : 0.68582, test_acc : 0.1844, 
Epoch : 31, train_loss : 0.8758538961410522, lr : 0.00625, test_loss : 4.047055615234375, train_acc : 0.68828, test_acc : 0.1403, 
