Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool1_40K', nesterov=True, optimizer='sgd', patience=7, pool=[15], resume=None, seed=608454, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 1, lr : 0.1, epoch_time : 7.908086899916331, train_loss : 1.964343547821045, train_acc(top1) : 18.90999984741211, test_loss : 2.2298696685791017, 
Epoch : 2, lr : 0.1, epoch_time : 7.904878667990366, train_loss : 2.010756015777588, train_acc(top1) : 24.850000381469727, test_loss : 2.013796549987793, 
Epoch : 3, lr : 0.1, epoch_time : 7.904918094476064, train_loss : 1.7831623554229736, train_acc(top1) : 24.079999923706055, test_loss : 2.2205809143066406, 
Epoch : 4, lr : 0.1, epoch_time : 7.905310889085134, train_loss : 1.8347314596176147, train_acc(top1) : 23.329999923706055, test_loss : 2.166289381408691, 
Epoch : 5, lr : 0.1, epoch_time : 7.905667579174041, train_loss : 1.9424182176589966, train_acc(top1) : 29.8799991607666, test_loss : 1.8811723587036133, 
Epoch : 6, lr : 0.1, epoch_time : 7.914757259686788, train_loss : 1.8531699180603027, train_acc(top1) : 32.06999969482422, test_loss : 1.8008258911132813, 
Epoch : 7, lr : 0.1, epoch_time : 7.9172028541564945, train_loss : 1.7318404912948608, train_acc(top1) : 32.61000061035156, test_loss : 1.9142932235717773, 
Epoch : 8, lr : 0.1, epoch_time : 7.9182408332824705, train_loss : 1.3504241704940796, train_acc(top1) : 51.029998779296875, test_loss : 1.393044546508789, 
Epoch : 9, lr : 0.1, epoch_time : 7.917983575661977, train_loss : 1.2710766792297363, train_acc(top1) : 43.93000030517578, test_loss : 1.7133025527954102, 
Epoch : 10, lr : 0.1, epoch_time : 7.917374308904012, train_loss : 1.122626781463623, train_acc(top1) : 54.849998474121094, test_loss : 1.257089207458496, 
Epoch : 11, lr : 0.1, epoch_time : 7.916625543435415, train_loss : 1.074905514717102, train_acc(top1) : 51.939998626708984, test_loss : 1.4699894592285156, 
Epoch : 12, lr : 0.1, epoch_time : 7.917940533161163, train_loss : 1.3871629238128662, train_acc(top1) : 62.06999969482422, test_loss : 1.0702767715454102, 
Epoch : 13, lr : 0.1, epoch_time : 7.917517920335134, train_loss : 1.0475964546203613, train_acc(top1) : 57.13999938964844, test_loss : 1.283796385192871, 
Epoch : 14, lr : 0.1, epoch_time : 7.9169960180918375, train_loss : 0.9795718193054199, train_acc(top1) : 65.23999786376953, test_loss : 0.9992820404052735, 
Epoch : 15, lr : 0.1, epoch_time : 7.915244011084239, train_loss : 0.9675946831703186, train_acc(top1) : 54.279998779296875, test_loss : 1.3086360252380371, 
Epoch : 16, lr : 0.1, epoch_time : 7.915273217360179, train_loss : 0.6736282110214233, train_acc(top1) : 58.400001525878906, test_loss : 1.2093441528320312, 
Epoch : 17, lr : 0.1, epoch_time : 7.9158819357554115, train_loss : 0.9828941226005554, train_acc(top1) : 60.81999969482422, test_loss : 1.0963979095458984, 
Epoch : 18, lr : 0.1, epoch_time : 7.915730865796407, train_loss : 0.7769086956977844, train_acc(top1) : 67.5199966430664, test_loss : 0.9307555397033691, 
Epoch : 19, lr : 0.1, epoch_time : 7.916136833031972, train_loss : 0.775417149066925, train_acc(top1) : 65.66000366210938, test_loss : 1.0262945579528808, 
Epoch : 20, lr : 0.1, epoch_time : 7.9160585641860965, train_loss : 0.878587543964386, train_acc(top1) : 67.31999969482422, test_loss : 0.8982004776000977, 
Epoch : 21, lr : 0.1, epoch_time : 7.915987269083659, train_loss : 0.7641094326972961, train_acc(top1) : 61.619998931884766, test_loss : 1.1055120956420899, 
Epoch : 22, lr : 0.1, epoch_time : 7.915928641955058, train_loss : 0.8263862729072571, train_acc(top1) : 64.37000274658203, test_loss : 1.0514896690368651, 
Epoch : 23, lr : 0.1, epoch_time : 7.9161209543546045, train_loss : 0.7327170372009277, train_acc(top1) : 60.45000076293945, test_loss : 1.273862042236328, 
Epoch : 24, lr : 0.1, epoch_time : 7.9160706718762714, train_loss : 0.7857441902160645, train_acc(top1) : 59.0099983215332, test_loss : 1.3069052368164062, 
Epoch : 25, lr : 0.1, epoch_time : 7.916344646612803, train_loss : 0.6809533834457397, train_acc(top1) : 65.29000091552734, test_loss : 1.0521689094543456, 
Epoch : 26, lr : 0.1, epoch_time : 7.916778457164765, train_loss : 0.7469995021820068, train_acc(top1) : 62.27000045776367, test_loss : 1.0866924026489257, 
Epoch : 27, lr : 0.1, epoch_time : 7.9159640630086265, train_loss : 0.9261724948883057, train_acc(top1) : 62.220001220703125, test_loss : 1.0738107894897462, 
Epoch : 28, lr : 0.1, epoch_time : 7.916984577973683, train_loss : 0.7375583648681641, train_acc(top1) : 69.2300033569336, test_loss : 0.9000312065124512, 
Epoch : 29, lr : 0.05, epoch_time : 7.915569655100504, train_loss : 0.575260579586029, train_acc(top1) : 77.13999938964844, test_loss : 0.6609758777618409, 
Epoch : 30, lr : 0.05, epoch_time : 7.915974541505178, train_loss : 0.5861251950263977, train_acc(top1) : 78.16999816894531, test_loss : 0.6233610858917237, 
Epoch : 31, lr : 0.05, epoch_time : 7.916662673155467, train_loss : 0.4197118282318115, train_acc(top1) : 78.12999725341797, test_loss : 0.6492018768310547, 
Epoch : 32, lr : 0.05, epoch_time : 7.916643857955933, train_loss : 0.43318814039230347, train_acc(top1) : 78.33999633789062, test_loss : 0.6227915157318116, 
Epoch : 33, lr : 0.05, epoch_time : 7.9163722475369775, train_loss : 0.526850163936615, train_acc(top1) : 74.2699966430664, test_loss : 0.7487358577728271, 
Epoch : 34, lr : 0.05, epoch_time : 7.916972490151723, train_loss : 0.45277008414268494, train_acc(top1) : 74.91999816894531, test_loss : 0.7579590553283692, 
Epoch : 35, lr : 0.05, epoch_time : 7.915195858478546, train_loss : 0.6568927764892578, train_acc(top1) : 74.87999725341797, test_loss : 0.7332431354522705, 
Epoch : 36, lr : 0.05, epoch_time : 7.916141680876414, train_loss : 0.611859142780304, train_acc(top1) : 75.77999877929688, test_loss : 0.6842835861206055, 
Epoch : 37, lr : 0.05, epoch_time : 7.9146772464116415, train_loss : 0.5816908478736877, train_acc(top1) : 74.72000122070312, test_loss : 0.7693337398529053, 
Epoch : 38, lr : 0.05, epoch_time : 7.916282757123311, train_loss : 0.5498487949371338, train_acc(top1) : 71.7300033569336, test_loss : 0.8208855167388917, 
Epoch : 39, lr : 0.05, epoch_time : 7.915375065803528, train_loss : 0.5493925213813782, train_acc(top1) : 76.43000030517578, test_loss : 0.6889141254425049, 
Epoch : 40, lr : 0.05, epoch_time : 7.915132749080658, train_loss : 0.44669973850250244, train_acc(top1) : 77.12000274658203, test_loss : 0.667931840133667, 
Epoch : 41, lr : 0.025, epoch_time : 7.915709606806437, train_loss : 0.38126954436302185, train_acc(top1) : 82.0, test_loss : 0.5201243877410888, 
Epoch : 42, lr : 0.025, epoch_time : 7.9156723896662395, train_loss : 0.49192267656326294, train_acc(top1) : 82.9000015258789, test_loss : 0.5144217193603515, 
Epoch : 43, lr : 0.025, epoch_time : 7.915972173213959, train_loss : 0.47083455324172974, train_acc(top1) : 83.19000244140625, test_loss : 0.4913746513366699, 
Epoch : 44, lr : 0.025, epoch_time : 7.914738933245341, train_loss : 0.46567848324775696, train_acc(top1) : 81.95999908447266, test_loss : 0.5344660701751709, 
Epoch : 45, lr : 0.025, epoch_time : 7.916167291005452, train_loss : 0.27638640999794006, train_acc(top1) : 79.31999969482422, test_loss : 0.6178381652832031, 
Epoch : 46, lr : 0.025, epoch_time : 7.916497667630513, train_loss : 0.3297385275363922, train_acc(top1) : 82.37000274658203, test_loss : 0.5189451240539551, 
Epoch : 47, lr : 0.025, epoch_time : 7.915989871819814, train_loss : 0.34525859355926514, train_acc(top1) : 79.80999755859375, test_loss : 0.5778529300689698, 
