Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=208, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=60000, name='pool1_60K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[15], resume=None, seed=980154, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 59886
Filters : 208
*******
Epoch : 1, lr : 0.1, epoch_time : 4.899923992156983, train_loss : 1.9587085247039795, train_acc(top1) : 20.47599983215332, test_loss : 2.0130449508666994, test_acc(top1) : 23.399999618530273, 
Epoch : 2, lr : 0.1, epoch_time : 4.858421178658803, train_loss : 1.9475891590118408, train_acc(top1) : 26.110000610351562, test_loss : 2.04578210144043, test_acc(top1) : 26.40999984741211, 
Epoch : 3, lr : 0.1, epoch_time : 4.850226187705994, train_loss : 1.8146897554397583, train_acc(top1) : 29.902000427246094, test_loss : 1.8807042922973634, test_acc(top1) : 31.40999984741211, 
Epoch : 4, lr : 0.1, epoch_time : 4.862164457639058, train_loss : 1.6170451641082764, train_acc(top1) : 35.89400100708008, test_loss : 2.133285095214844, test_acc(top1) : 28.059999465942383, 
Epoch : 5, lr : 0.1, epoch_time : 4.855399262905121, train_loss : 1.6800651550292969, train_acc(top1) : 43.97200012207031, test_loss : 1.7478424560546875, test_acc(top1) : 37.77000045776367, 
Epoch : 6, lr : 0.1, epoch_time : 4.857949014504751, train_loss : 1.3582490682601929, train_acc(top1) : 51.150001525878906, test_loss : 1.4799834602355957, test_acc(top1) : 47.47999954223633, 
Epoch : 7, lr : 0.1, epoch_time : 4.859815919399262, train_loss : 1.2325282096862793, train_acc(top1) : 57.619998931884766, test_loss : 1.4177446403503418, test_acc(top1) : 51.04999923706055, 
Epoch : 8, lr : 0.1, epoch_time : 4.84539193312327, train_loss : 0.7954957485198975, train_acc(top1) : 62.35200119018555, test_loss : 1.1090213386535646, test_acc(top1) : 59.959999084472656, 
Epoch : 9, lr : 0.1, epoch_time : 4.859124640623729, train_loss : 1.0308318138122559, train_acc(top1) : 64.7760009765625, test_loss : 1.1633217674255372, test_acc(top1) : 59.529998779296875, 
Epoch : 10, lr : 0.1, epoch_time : 4.837496240933736, train_loss : 0.9651957750320435, train_acc(top1) : 66.30599975585938, test_loss : 1.1596641120910645, test_acc(top1) : 59.709999084472656, 
Epoch : 11, lr : 0.1, epoch_time : 4.848802077770233, train_loss : 0.8522788882255554, train_acc(top1) : 68.88999938964844, test_loss : 1.0229688850402832, test_acc(top1) : 64.01000213623047, 
Epoch : 12, lr : 0.1, epoch_time : 4.848401002089182, train_loss : 0.7517799139022827, train_acc(top1) : 70.76200103759766, test_loss : 1.3874573753356934, test_acc(top1) : 55.349998474121094, 
Epoch : 13, lr : 0.1, epoch_time : 4.851992988586426, train_loss : 0.6338915824890137, train_acc(top1) : 71.81999969482422, test_loss : 0.8647025100708008, test_acc(top1) : 70.75, 
Epoch : 14, lr : 0.1, epoch_time : 4.84446702003479, train_loss : 0.8036182522773743, train_acc(top1) : 72.56600189208984, test_loss : 0.9031570663452149, test_acc(top1) : 69.27999877929688, 
Epoch : 15, lr : 0.1, epoch_time : 4.865667148431142, train_loss : 0.7597315907478333, train_acc(top1) : 73.83200073242188, test_loss : 1.6772707206726074, test_acc(top1) : 52.029998779296875, 
Epoch : 16, lr : 0.1, epoch_time : 4.910127604007721, train_loss : 0.7572634816169739, train_acc(top1) : 74.31999969482422, test_loss : 0.9254772174835205, test_acc(top1) : 69.08999633789062, 
Epoch : 17, lr : 0.1, epoch_time : 4.9178940931955974, train_loss : 0.8953263759613037, train_acc(top1) : 75.05599975585938, test_loss : 0.8026751132965088, test_acc(top1) : 72.79000091552734, 
Epoch : 18, lr : 0.1, epoch_time : 4.903419184684753, train_loss : 0.8440611362457275, train_acc(top1) : 75.2300033569336, test_loss : 0.9848196662902832, test_acc(top1) : 66.47000122070312, 
Epoch : 19, lr : 0.1, epoch_time : 4.936656896273295, train_loss : 0.7826200127601624, train_acc(top1) : 75.43399810791016, test_loss : 1.5115269241333007, test_acc(top1) : 55.70000076293945, 
Epoch : 20, lr : 0.1, epoch_time : 4.9382363080978395, train_loss : 0.6987136602401733, train_acc(top1) : 76.34400177001953, test_loss : 0.7546794513702393, test_acc(top1) : 73.31999969482422, 
Epoch : 21, lr : 0.1, epoch_time : 4.8673100431760155, train_loss : 0.7519557476043701, train_acc(top1) : 76.12799835205078, test_loss : 1.0620942337036132, test_acc(top1) : 65.38999938964844, 
Epoch : 22, lr : 0.1, epoch_time : 4.863336006800334, train_loss : 0.7874894738197327, train_acc(top1) : 76.73200225830078, test_loss : 1.066393409729004, test_acc(top1) : 64.13999938964844, 
Epoch : 23, lr : 0.1, epoch_time : 4.866533374786377, train_loss : 0.6623641848564148, train_acc(top1) : 76.76399993896484, test_loss : 1.2726370849609374, test_acc(top1) : 59.130001068115234, 
Epoch : 24, lr : 0.1, epoch_time : 4.87268842458725, train_loss : 0.6419708132743835, train_acc(top1) : 77.65399932861328, test_loss : 0.7527241474151611, test_acc(top1) : 73.29000091552734, 
Epoch : 25, lr : 0.1, epoch_time : 4.856894322236379, train_loss : 0.6106790900230408, train_acc(top1) : 77.302001953125, test_loss : 0.8187234760284424, test_acc(top1) : 71.88999938964844, 
Epoch : 26, lr : 0.1, epoch_time : 4.873646529515584, train_loss : 0.5529108643531799, train_acc(top1) : 77.81999969482422, test_loss : 0.7899933887481689, test_acc(top1) : 73.76000213623047, 
Epoch : 27, lr : 0.1, epoch_time : 4.844693911075592, train_loss : 0.7655866742134094, train_acc(top1) : 78.30999755859375, test_loss : 1.2418574432373046, test_acc(top1) : 63.5, 
Epoch : 28, lr : 0.1, epoch_time : 4.857072099049886, train_loss : 0.6512348055839539, train_acc(top1) : 77.87200164794922, test_loss : 0.6977943000793457, test_acc(top1) : 76.23999786376953, 
Epoch : 29, lr : 0.1, epoch_time : 4.848126133282979, train_loss : 0.6031525731086731, train_acc(top1) : 78.32599639892578, test_loss : 0.7532632820129395, test_acc(top1) : 73.80000305175781, 
Epoch : 30, lr : 0.1, epoch_time : 4.861784239610036, train_loss : 0.6832979321479797, train_acc(top1) : 78.68399810791016, test_loss : 0.9183497871398926, test_acc(top1) : 69.76000213623047, 
Epoch : 31, lr : 0.1, epoch_time : 4.833224554856618, train_loss : 0.696363091468811, train_acc(top1) : 79.27400207519531, test_loss : 1.074137498474121, test_acc(top1) : 65.25, 
Epoch : 32, lr : 0.1, epoch_time : 4.852040926615397, train_loss : 0.6320123076438904, train_acc(top1) : 79.02200317382812, test_loss : 0.8398748344421386, test_acc(top1) : 71.55000305175781, 
Epoch : 33, lr : 0.1, epoch_time : 4.852619540691376, train_loss : 0.7470398545265198, train_acc(top1) : 79.52200317382812, test_loss : 1.1139098640441893, test_acc(top1) : 59.91999816894531, 
Epoch : 34, lr : 0.1, epoch_time : 4.933205755551656, train_loss : 0.4643501043319702, train_acc(top1) : 79.38400268554688, test_loss : 1.0170540267944337, test_acc(top1) : 69.69999694824219, 
Epoch : 35, lr : 0.1, epoch_time : 4.842699714501699, train_loss : 0.6297421455383301, train_acc(top1) : 80.04199981689453, test_loss : 0.891434362411499, test_acc(top1) : 70.61000061035156, 
Epoch : 36, lr : 0.1, epoch_time : 4.872824021180471, train_loss : 0.5460534691810608, train_acc(top1) : 79.79399871826172, test_loss : 0.9352950042724609, test_acc(top1) : 70.80000305175781, 
Epoch : 37, lr : 0.05, epoch_time : 4.861501200993856, train_loss : 0.4759736657142639, train_acc(top1) : 84.81999969482422, test_loss : 0.5490169988632202, test_acc(top1) : 82.22000122070312, 
Epoch : 38, lr : 0.05, epoch_time : 4.862294979890188, train_loss : 0.37856200337409973, train_acc(top1) : 85.39399719238281, test_loss : 0.6426323078155518, test_acc(top1) : 79.08999633789062, 
Epoch : 39, lr : 0.05, epoch_time : 4.8635790904363, train_loss : 0.4801750183105469, train_acc(top1) : 85.75800323486328, test_loss : 0.5265026695251465, test_acc(top1) : 82.63999938964844, 
Epoch : 40, lr : 0.05, epoch_time : 4.857014735539754, train_loss : 0.4204366207122803, train_acc(top1) : 85.47000122070312, test_loss : 0.7997315628051758, test_acc(top1) : 75.33999633789062, 
Epoch : 41, lr : 0.05, epoch_time : 4.863426979382833, train_loss : 0.500372052192688, train_acc(top1) : 85.72200012207031, test_loss : 0.568027066040039, test_acc(top1) : 80.80000305175781, 
Epoch : 42, lr : 0.05, epoch_time : 4.84310564994812, train_loss : 0.4396400451660156, train_acc(top1) : 85.86399841308594, test_loss : 0.6905903038024902, test_acc(top1) : 76.37999725341797, 
Epoch : 43, lr : 0.05, epoch_time : 4.839916833241781, train_loss : 0.4730798602104187, train_acc(top1) : 85.79399871826172, test_loss : 0.5377092926025391, test_acc(top1) : 81.41999816894531, 
Epoch : 44, lr : 0.05, epoch_time : 4.8496938387552895, train_loss : 0.39259955286979675, train_acc(top1) : 86.01200103759766, test_loss : 0.7277837028503418, test_acc(top1) : 76.8499984741211, 
Epoch : 45, lr : 0.05, epoch_time : 4.850003008047739, train_loss : 0.33613812923431396, train_acc(top1) : 85.68800354003906, test_loss : 0.51822913646698, test_acc(top1) : 83.12000274658203, 
Epoch : 46, lr : 0.05, epoch_time : 4.857531142234802, train_loss : 0.4262540936470032, train_acc(top1) : 85.947998046875, test_loss : 0.6239943216323852, test_acc(top1) : 79.13999938964844, 
Epoch : 47, lr : 0.05, epoch_time : 4.8662025928497314, train_loss : 0.4767138659954071, train_acc(top1) : 86.10199737548828, test_loss : 0.7514570743560791, test_acc(top1) : 75.62999725341797, 
Epoch : 48, lr : 0.05, epoch_time : 4.853646131356557, train_loss : 0.3218151330947876, train_acc(top1) : 85.91200256347656, test_loss : 0.5787147651672363, test_acc(top1) : 80.12999725341797, 
Epoch : 49, lr : 0.05, epoch_time : 4.868651795387268, train_loss : 0.2772568464279175, train_acc(top1) : 86.39800262451172, test_loss : 0.7015075443267822, test_acc(top1) : 79.11000061035156, 
Epoch : 50, lr : 0.05, epoch_time : 4.862120648225148, train_loss : 0.4599364101886749, train_acc(top1) : 86.24600219726562, test_loss : 1.0786244354248047, test_acc(top1) : 69.08999633789062, 
Epoch : 51, lr : 0.05, epoch_time : 4.840292847156524, train_loss : 0.5443624258041382, train_acc(top1) : 86.20800018310547, test_loss : 0.6353291122436523, test_acc(top1) : 79.95999908447266, 
Epoch : 52, lr : 0.05, epoch_time : 4.855383062362671, train_loss : 0.5353659987449646, train_acc(top1) : 86.4020004272461, test_loss : 0.6224343891143799, test_acc(top1) : 78.5, 
Epoch : 53, lr : 0.05, epoch_time : 4.864953327178955, train_loss : 0.2831151485443115, train_acc(top1) : 86.4540023803711, test_loss : 0.5241326076507569, test_acc(top1) : 82.43000030517578, 
Epoch : 54, lr : 0.025, epoch_time : 4.838023201624552, train_loss : 0.28582969307899475, train_acc(top1) : 89.89199829101562, test_loss : 0.3918469575881958, test_acc(top1) : 86.88999938964844, 
Epoch : 55, lr : 0.025, epoch_time : 4.853658056259155, train_loss : 0.29389235377311707, train_acc(top1) : 90.28199768066406, test_loss : 0.37716592102050783, test_acc(top1) : 87.25, 
Epoch : 56, lr : 0.025, epoch_time : 4.871640666325887, train_loss : 0.1906844675540924, train_acc(top1) : 90.31400299072266, test_loss : 0.3873642949104309, test_acc(top1) : 87.30000305175781, 
