Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool4_40K', nesterov=True, optimizer='sgd', patience=7, pool=[6], resume=None, seed=719706, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool4_40K', nesterov=True, optimizer='sgd', patience=7, pool=[6], resume=None, seed=817062, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 1, lr : 0.1, epoch_time : 3.396101248264313, train_loss : 1.7053853273391724, train_acc(top1) : 44.08000183105469, test_loss : 1.543125676727295, 
Epoch : 2, lr : 0.1, epoch_time : 3.3920936306317646, train_loss : 1.261167049407959, train_acc(top1) : 52.7599983215332, test_loss : 1.3028938400268555, 
Epoch : 3, lr : 0.1, epoch_time : 3.391449236869812, train_loss : 1.2551124095916748, train_acc(top1) : 47.95000076293945, test_loss : 1.5007818336486816, 
Epoch : 4, lr : 0.1, epoch_time : 3.3916523297627768, train_loss : 1.0414165258407593, train_acc(top1) : 61.150001525878906, test_loss : 1.124881332397461, 
Epoch : 5, lr : 0.1, epoch_time : 3.3924830277760822, train_loss : 0.7118721008300781, train_acc(top1) : 64.01000213623047, test_loss : 1.0110500038146972, 
Epoch : 6, lr : 0.1, epoch_time : 3.3929280440012612, train_loss : 0.7071026563644409, train_acc(top1) : 69.97000122070312, test_loss : 0.872505139541626, 
Epoch : 7, lr : 0.1, epoch_time : 3.392207630475362, train_loss : 0.8888183832168579, train_acc(top1) : 66.36000061035156, test_loss : 0.9510520446777344, 
Epoch : 8, lr : 0.1, epoch_time : 3.3926460067431132, train_loss : 0.7435070276260376, train_acc(top1) : 66.91000366210938, test_loss : 0.943609317779541, 
Epoch : 9, lr : 0.1, epoch_time : 3.3913408557573956, train_loss : 0.8636927604675293, train_acc(top1) : 65.97000122070312, test_loss : 1.0189327125549317, 
Epoch : 10, lr : 0.1, epoch_time : 3.3913323799769084, train_loss : 0.706615149974823, train_acc(top1) : 69.77999877929688, test_loss : 0.8821771965026856, 
Epoch : 11, lr : 0.1, epoch_time : 3.39215327501297, train_loss : 0.7339520454406738, train_acc(top1) : 73.05000305175781, test_loss : 0.7809945877075195, 
Epoch : 12, lr : 0.1, epoch_time : 3.3907586574554442, train_loss : 0.6112727522850037, train_acc(top1) : 70.08000183105469, test_loss : 0.8992772331237793, 
Epoch : 13, lr : 0.1, epoch_time : 3.3910207112630206, train_loss : 0.6764856576919556, train_acc(top1) : 72.6500015258789, test_loss : 0.7757474658966065, 
Epoch : 14, lr : 0.1, epoch_time : 3.391595256328583, train_loss : 0.7982127666473389, train_acc(top1) : 74.0, test_loss : 0.7637700382232666, 
Epoch : 15, lr : 0.1, epoch_time : 3.39080403248469, train_loss : 0.8597014546394348, train_acc(top1) : 67.37000274658203, test_loss : 0.9327808609008789, 
Epoch : 16, lr : 0.1, epoch_time : 3.3917874296506247, train_loss : 0.8271358609199524, train_acc(top1) : 76.0, test_loss : 0.6974705211639405, 
Epoch : 17, lr : 0.1, epoch_time : 3.3919238289197287, train_loss : 0.5708747506141663, train_acc(top1) : 68.5, test_loss : 0.9748929561614991, 
Epoch : 18, lr : 0.1, epoch_time : 3.391489124298096, train_loss : 0.6590366363525391, train_acc(top1) : 67.77999877929688, test_loss : 0.959489881515503, 
Epoch : 19, lr : 0.1, epoch_time : 3.3918561498324076, train_loss : 0.6654797196388245, train_acc(top1) : 72.80999755859375, test_loss : 0.7779766590118408, 
Epoch : 20, lr : 0.1, epoch_time : 3.3917999029159547, train_loss : 0.8314864635467529, train_acc(top1) : 61.40999984741211, test_loss : 1.316403980255127, 
Epoch : 21, lr : 0.1, epoch_time : 3.391728734970093, train_loss : 0.5858826637268066, train_acc(top1) : 65.58999633789062, test_loss : 1.0493355724334716, 
Epoch : 22, lr : 0.1, epoch_time : 3.3922686139742533, train_loss : 0.5978336930274963, train_acc(top1) : 73.26000213623047, test_loss : 0.7948666603088379, 
Epoch : 23, lr : 0.1, epoch_time : 3.3915212750434875, train_loss : 0.6837586164474487, train_acc(top1) : 72.98999786376953, test_loss : 0.785868257522583, 
Epoch : 24, lr : 0.1, epoch_time : 3.3914498408635456, train_loss : 0.7822813391685486, train_acc(top1) : 73.9000015258789, test_loss : 0.7835982475280762, 
Epoch : 25, lr : 0.05, epoch_time : 3.3913615385691327, train_loss : 0.3906954228878021, train_acc(top1) : 81.4800033569336, test_loss : 0.5372131259918212, 
Epoch : 26, lr : 0.05, epoch_time : 3.392073154449463, train_loss : 0.38309597969055176, train_acc(top1) : 78.75, test_loss : 0.6170265033721923, 
Epoch : 27, lr : 0.05, epoch_time : 3.391764585177104, train_loss : 0.4780923128128052, train_acc(top1) : 82.91999816894531, test_loss : 0.5056923904418945, 
Epoch : 28, lr : 0.05, epoch_time : 3.3915170192718507, train_loss : 0.4391933083534241, train_acc(top1) : 81.83000183105469, test_loss : 0.5350147956848145, 
Epoch : 29, lr : 0.05, epoch_time : 3.3913514494895933, train_loss : 0.5744640231132507, train_acc(top1) : 81.05000305175781, test_loss : 0.5407417770385742, 
Epoch : 30, lr : 0.05, epoch_time : 3.39235680103302, train_loss : 0.5052129626274109, train_acc(top1) : 79.20999908447266, test_loss : 0.6220209213256835, 
Epoch : 31, lr : 0.05, epoch_time : 3.392110292116801, train_loss : 0.47353339195251465, train_acc(top1) : 82.31999969482422, test_loss : 0.508104290008545, 
Epoch : 32, lr : 0.05, epoch_time : 3.39191499153773, train_loss : 0.3823486268520355, train_acc(top1) : 80.56999969482422, test_loss : 0.564408041381836, 
Epoch : 33, lr : 0.05, epoch_time : 3.392157804965973, train_loss : 0.5362632274627686, train_acc(top1) : 82.19999694824219, test_loss : 0.5213215887069702, 
Epoch : 34, lr : 0.05, epoch_time : 3.392180112997691, train_loss : 0.38009244203567505, train_acc(top1) : 81.7699966430664, test_loss : 0.5277343496322632, 
Epoch : 35, lr : 0.05, epoch_time : 3.3919779578844707, train_loss : 0.5183570384979248, train_acc(top1) : 79.05000305175781, test_loss : 0.6027071731567383, 
Epoch : 36, lr : 0.025, epoch_time : 3.3914553046226503, train_loss : 0.2715458273887634, train_acc(top1) : 85.7300033569336, test_loss : 0.4140456237792969, 
Epoch : 37, lr : 0.025, epoch_time : 3.392409932613373, train_loss : 0.34168094396591187, train_acc(top1) : 86.75, test_loss : 0.38812274417877196, 
Epoch : 38, lr : 0.025, epoch_time : 3.3917285998662314, train_loss : 0.3686267137527466, train_acc(top1) : 86.0999984741211, test_loss : 0.4057141165733337, 
Epoch : 39, lr : 0.025, epoch_time : 3.3912829319636026, train_loss : 0.3287990093231201, train_acc(top1) : 83.7699966430664, test_loss : 0.47701154651641847, 
Epoch : 40, lr : 0.025, epoch_time : 3.3907053073247275, train_loss : 0.42618274688720703, train_acc(top1) : 86.68000030517578, test_loss : 0.38927726936340334, 
Epoch : 41, lr : 0.025, epoch_time : 3.3920042832692463, train_loss : 0.2715255320072174, train_acc(top1) : 85.41000366210938, test_loss : 0.43825769081115723, 
Epoch : 42, lr : 0.025, epoch_time : 3.3922641475995383, train_loss : 0.3328365087509155, train_acc(top1) : 86.5199966430664, test_loss : 0.392975598526001, 
Epoch : 43, lr : 0.025, epoch_time : 3.392570130030314, train_loss : 0.3836582601070404, train_acc(top1) : 85.62999725341797, test_loss : 0.4177783809661865, 
