Namespace(activ='relu', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=10, conv_mode='classic', cutout=8, dataset=['cifar10'], epochs=200, filters=64, gamma=0.5, history=1, iter=14, learning_rate=0.1, min_lr=0.0001, model='res_thrifty', momentum=0.9, n_params=None, name='vanillaC10', nesterov=True, optimizer='sgd', out_mode='pool', patience=8, pool=[3], resume=None, seed=437546, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39334
Filters : 64
*******
epoch : 1, time : 0.8406346201896667, train_loss : 935.7509765625, train_acc(top1) : 14483.0, test_loss : 1.6789595890045166, test_acc(top1) : 37.70000076293945, 
epoch : 2, time : 0.8283991893132527, train_loss : 794.9668579101562, train_acc(top1) : 20339.0, test_loss : 1.500983465909958, test_acc(top1) : 45.939998626708984, 
epoch : 3, time : 0.769524113337199, train_loss : 690.26318359375, train_acc(top1) : 24663.0, test_loss : 1.2360503387451172, test_acc(top1) : 54.33000183105469, 
epoch : 4, time : 0.7589702367782593, train_loss : 605.5740966796875, train_acc(top1) : 28150.0, test_loss : 1.1063726598024368, test_acc(top1) : 60.5099983215332, 
epoch : 5, time : 0.7578846732775371, train_loss : 555.1672973632812, train_acc(top1) : 30132.0, test_loss : 1.1935367208719254, test_acc(top1) : 57.650001525878906, 
epoch : 6, time : 0.7588262597719828, train_loss : 525.2620239257812, train_acc(top1) : 31361.0, test_loss : 1.0922753274440766, test_acc(top1) : 61.689998626708984, 
epoch : 7, time : 0.7756319125493367, train_loss : 503.25897216796875, train_acc(top1) : 32152.0, test_loss : 1.249059578180313, test_acc(top1) : 59.540000915527344, 
epoch : 8, time : 0.760095485051473, train_loss : 482.853271484375, train_acc(top1) : 32970.0, test_loss : 0.975316419005394, test_acc(top1) : 66.26000213623047, 
epoch : 9, time : 0.7592291831970215, train_loss : 474.73724365234375, train_acc(top1) : 33268.0, test_loss : 0.9273321676254273, test_acc(top1) : 67.44999694824219, 
epoch : 10, time : 0.7618354360262553, train_loss : 460.2409362792969, train_acc(top1) : 33860.0, test_loss : 0.8584419512748718, test_acc(top1) : 70.58000183105469, 
epoch : 11, time : 0.7639636039733887, train_loss : 401.1014099121094, train_acc(top1) : 35952.0, test_loss : 0.7796512535214424, test_acc(top1) : 73.04000091552734, 
epoch : 12, time : 0.7916496276855469, train_loss : 395.91595458984375, train_acc(top1) : 36107.0, test_loss : 0.7612807953357696, test_acc(top1) : 73.76000213623047, 
epoch : 13, time : 0.7782762249310812, train_loss : 392.0975646972656, train_acc(top1) : 36319.0, test_loss : 0.7753580063581467, test_acc(top1) : 73.30999755859375, 
epoch : 14, time : 0.7710514982541402, train_loss : 389.34051513671875, train_acc(top1) : 36407.0, test_loss : 0.7375154727697373, test_acc(top1) : 74.31999969482422, 
epoch : 15, time : 0.776636536916097, train_loss : 388.2253112792969, train_acc(top1) : 36439.0, test_loss : 0.7560868316888809, test_acc(top1) : 73.5, 
